"Titre court","Titre complet","Numéro de l'amendement","Partie de l'amendement","Sort de l'amendement","Désignation de l'article","Délibération","Auteur","Cosignataire(s)","Instance","Etape du texte","URL Dossier législatif","URL Texte référence","URL Amendement","URL Amendement format XML"
"PROJET DE LOI DE FINANCES POUR 2026","Amendement n° 269 - PROJET DE LOI DE FINANCES POUR 2026 - 1ère lecture (1ère assemblée saisie) - n° 1906","I-CF269","I","Non renseigné","Après l'article 27","Première délibération","Le Fur Corentin","  Mme Corneloup, M. Bony, M. Ray, Mme Petex, M. Fabrice Brun, M. Cordier, Mme Sylvie Bonnet, M. Breton et M. Boucard","Finances","1ère lecture (1ère assemblée saisie)","https://www.assemblee-nationale.fr/dyn/17/dossiers/PLF_2026","https://www.assemblee-nationale.fr/17/textes/1906A.asp#D_ARTICLE_27","https://www.assemblee-nationale.fr/dyn/17/amendements/1906A/CION_FIN/CF269","https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO59048B1906P1D1N000269.xml"
"PROJET DE LOI DE FINANCES POUR 2026","Amendement n° 324 - PROJET DE LOI DE FINANCES POUR 2026 - 1ère lecture (1ère assemblée saisie) - n° 1906","I-CF324","I","Non renseigné","Article 40","Première délibération","Guiraud David","  Mme Abomangoli, M. Alexandre, M. Amard, Mme Amiot, Mme Amrani, M. Arenas, M. Arnault, Mme Belouassa-Cherifi, M. Bernalicis, M. Bex, M. Bilongo, M. Bompard, M. Boumertit, M. Boyard, M. Cadalen, M. Caron, M. Carrière, Mme Cathala, M. Cernon, Mme Chikirou, M. Clouet, M. Coquerel, M. Coulomme, M. Delogu, M. Diouara, Mme Dufour, Mme Erodi, Mme Feld, M. Fernandes, Mme Ferrer, M. Gaillard, Mme Guetté, Mme Hamdane, Mme Hignet, M. Kerbrat, M. Lachaud, M. Lahmar, M. Laisney, M. Le Coq, M. Le Gall, Mme Leboucher, M. Legavre, Mme Legrain, Mme Lejeune, Mme Lepvraud, M. Léaument, Mme Élisa Martin, M. Maudet, Mme Maximi, Mme Mesmeur, Mme Manon Meunier, M. Nilor, Mme Nosbé, Mme Obono, Mme Oziol, Mme Panot, M. Pilato, M. Piquemal, M. Portes, M. Prud'homme, M. Ratenon, M. Saint-Martin, M. Saintoul, Mme Soudais, Mme Stambach-Terrenoir, M. Aurélien Taché, Mme Taurinya, M. Tavel, Mme Trouvé et M. Vannier","Finances","1ère lecture (1ère assemblée saisie)","https://www.assemblee-nationale.fr/dyn/17/dossiers/PLF_2026","https://www.assemblee-nationale.fr/17/textes/1906A.asp#D_ARTICLE_40","https://www.assemblee-nationale.fr/dyn/17/amendements/1906A/CION_FIN/CF324","https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO59048B1906P1D1N000324.xml"
"PROJET DE LOI DE FINANCES POUR 2026","Amendement n° 154 - PROJET DE LOI DE FINANCES POUR 2026 - 1ère lecture (1ère assemblée saisie) - n° 1906","I-CF154","I","Non renseigné","Article 36","Première délibération","Duby-Muller Virginie","  M. Fabrice Brun et Mme Corneloup","Finances","1ère lecture (1ère assemblée saisie)","https://www.assemblee-nationale.fr/dyn/17/dossiers/PLF_2026","https://www.assemblee-nationale.fr/17/textes/1906A.asp#D_ARTICLE_36","https://www.assemblee-nationale.fr/dyn/17/amendements/1906A/CION_FIN/CF154","https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO59048B1906P1D1N000154.xml"
"PROJET DE LOI DE FINANCES POUR 2026","Amendement n° 213 - PROJET DE LOI DE FINANCES POUR 2026 - 1ère lecture (1ère assemblée saisie) - n° 1906","I-CF213","I","Non renseigné","Après l'article 24","Première délibération","Blanchet Christophe","  M. Falorni, Mme Vidal et M. Cosson","Finances","1ère lecture (1ère assemblée saisie)","https://www.assemblee-nationale.fr/dyn/17/dossiers/PLF_2026","https://www.assemblee-nationale.fr/17/textes/1906A.asp#D_ARTICLE_24","https://www.assemblee-nationale.fr/dyn/17/amendements/1906A/CION_FIN/CF213","https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO59048B1906P1D1N000213.xml"
"PROJET DE LOI DE FINANCES POUR 2026","Amendement n° 892 - PROJET DE LOI DE FINANCES POUR 2026 - 1ère lecture (1ère assemblée saisie) - n° 1906","I-CF892","I","Non renseigné","Après l'article 24","Première délibération","Coquerel Éric","  Mme Abomangoli, M. Alexandre, M. Amard, Mme Amiot, Mme Amrani, M. Arenas, M. Arnault, Mme Belouassa-Cherifi, M. Bernalicis, M. Bex, M. Bilongo, M. Bompard, M. Boumertit, M. Boyard, M. Cadalen, M. Caron, M. Carrière, Mme Cathala, M. Cernon, Mme Chikirou, M. Clouet, M. Coulomme, M. Delogu, M. Diouara, Mme Dufour, Mme Erodi, Mme Feld, M. Fernandes, Mme Ferrer, M. Gaillard, Mme Guetté, M. Guiraud, Mme Hamdane, Mme Hignet, M. Kerbrat, M. Lachaud, M. Lahmar, M. Laisney, M. Le Coq, M. Le Gall, Mme Leboucher, M. Legavre, Mme Legrain, Mme Lejeune, Mme Lepvraud, M. Léaument, Mme Élisa Martin, M. Maudet, Mme Maximi, Mme Mesmeur, Mme Manon Meunier, M. Nilor, Mme Nosbé, Mme Obono, Mme Oziol, Mme Panot, M. Pilato, M. Piquemal, M. Portes, M. Prud'homme, M. Ratenon, M. Saint-Martin, M. Saintoul, Mme Soudais, Mme Stambach-Terrenoir, M. Aurélien Taché, Mme Taurinya, M. Tavel, Mme Trouvé et M. Vannier","Finances","1ère lecture (1ère assemblée saisie)","https://www.assemblee-nationale.fr/dyn/17/dossiers/PLF_2026","https://www.assemblee-nationale.fr/17/textes/1906A.asp#D_ARTICLE_24","https://www.assemblee-nationale.fr/dyn/17/amendements/1906A/CION_FIN/CF892","https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO59048B1906P1D1N000892.xml"
"PROJET DE LOI DE FINANCES POUR 2026","Amendement n° 287 - PROJET DE LOI DE FINANCES POUR 2026 - 1ère lecture (1ère assemblée saisie) - n° 1906","I-CF287","I","Non renseigné","Après l'article 24","Première délibération","Le Fur Corentin","  Mme Corneloup, M. Bony, Mme Petex, M. Fabrice Brun, M. Cordier, Mme Sylvie Bonnet, M. Breton et M. Boucard","Finances","1ère lecture (1ère assemblée saisie)","https://www.assemblee-nationale.fr/dyn/17/dossiers/PLF_2026","https://www.assemblee-nationale.fr/17/textes/1906A.asp#D_ARTICLE_24","https://www.assemblee-nationale.fr/dyn/17/amendements/1906A/CION_FIN/CF287","https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO59048B1906P1D1N000287.xml"
"PROJET DE LOI DE FINANCES POUR 2026","Amendement n° 425 - PROJET DE LOI DE FINANCES POUR 2026 - 1ère lecture (1ère assemblée saisie) - n° 1906","I-CF425","I","Non renseigné","Après l'article 29","Première délibération","Coquerel Éric","  Mme Abomangoli, M. Alexandre, M. Amard, Mme Amiot, Mme Amrani, M. Arenas, M. Arnault, Mme Belouassa-Cherifi, M. Bernalicis, M. Bex, M. Bilongo, M. Bompard, M. Boumertit, M. Boyard, M. Cadalen, M. Caron, M. Carrière, Mme Cathala, M. Cernon, Mme Chikirou, M. Clouet, M. Coulomme, M. Delogu, M. Diouara, Mme Dufour, Mme Erodi, Mme Feld, M. Fernandes, Mme Ferrer, M. Gaillard, Mme Guetté, M. Guiraud, Mme Hamdane, Mme Hignet, M. Kerbrat, M. Lachaud, M. Lahmar, M. Laisney, M. Le Coq, M. Le Gall, Mme Leboucher, M. Legavre, Mme Legrain, Mme Lejeune, Mme Lepvraud, M. Léaument, Mme Élisa Martin, M. Maudet, Mme Maximi, Mme Mesmeur, Mme Manon Meunier, M. Nilor, Mme Nosbé, Mme Obono, Mme Oziol, Mme Panot, M. Pilato, M. Piquemal, M. Portes, M. Prud'homme, M. Ratenon, M. Saint-Martin, M. Saintoul, Mme Soudais, Mme Stambach-Terrenoir, M. Aurélien Taché, Mme Taurinya, M. Tavel, Mme Trouvé et M. Vannier","Finances","1ère lecture (1ère assemblée saisie)","https://www.assemblee-nationale.fr/dyn/17/dossiers/PLF_2026","https://www.assemblee-nationale.fr/17/textes/1906A.asp#D_ARTICLE_29","https://www.assemblee-nationale.fr/dyn/17/amendements/1906A/CION_FIN/CF425","https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO59048B1906P1D1N000425.xml"
"PROJET DE LOI DE FINANCES POUR 2026","Amendement n° 1436 - PROJET DE LOI DE FINANCES POUR 2026 - 1ère lecture (1ère assemblée saisie) - n° 1906","I-CF1436","I","Non renseigné","Article 43","Première délibération","Eskenazi Romain","  M. Philippe Brun, Mme Mercier, Mme Allemand, M. Aviragnet, M. Baptiste, M. Barusseau, Mme Battistel, M. Baumel, M. Belhaddad, Mme Bellay, M. Benbrahim, M. Bouloux, M. Califer, Mme Capdevielle, M. Christophle, M. Courbon, M. David, M. Delaporte, M. Delautrette, Mme Diop, Mme Dombre Coste, M. Dufau, M. Echaniz, M. Faure, Mme Froger, M. Fégné, M. Garot, Mme Godard, M. Gokel, Mme Got, M. Emmanuel Grégoire, M. Guedj, M. Hablot, Mme Hadizadeh, Mme Herouin-Léautey, Mme Céline Hervieu, M. Hollande, M. Houlié, Mme Jourdan, Mme Karamanli, Mme Keloua Hachi, M. Leseul, M. Lhardit, M. Naillet, M. Oberti, Mme Pantel, M. Pena, Mme Pic, Mme Pirès Beaune, M. Potier, M. Pribetich, M. Proença, Mme Rossi, Mme Rouaux, M. Aurélien Rousseau, M. Roussel, Mme Runel, Mme Récalde, M. Saint-Pasteur, Mme Santiago, M. Saulignac, M. Simion, M. Sother, Mme Thiébault-Martinez, Mme Thomin, M. Vallaud, M. Vicot, M. William et les membres du groupe Socialistes et apparentés","Finances","1ère lecture (1ère assemblée saisie)","https://www.assemblee-nationale.fr/dyn/17/dossiers/PLF_2026","https://www.assemblee-nationale.fr/17/textes/1906A.asp#D_ARTICLE_43","https://www.assemblee-nationale.fr/dyn/17/amendements/1906A/CION_FIN/CF1436","https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO59048B1906P1D1N001436.xml"
"PROJET DE LOI DE FINANCES POUR 2026","Amendement n° 659 - PROJET DE LOI DE FINANCES POUR 2026 - 1ère lecture (1ère assemblée saisie) - n° 1906","I-CF659","I","Non renseigné","Après l'article 27","Première délibération","Courbon Pierrick","  M. Roussel, Mme Thomin, M. Leseul, Mme Mercier, M. Philippe Brun, M. Baptiste, M. Baumel, M. Bouloux, M. Oberti, Mme Pantel, Mme Pirès Beaune, M. Vallaud, Mme Allemand, M. Aviragnet, M. Barusseau, Mme Battistel, M. Belhaddad, Mme Bellay, M. Benbrahim, M. Califer, Mme Capdevielle, M. Christophle, M. David, M. Delaporte, M. Delautrette, Mme Diop, Mme Dombre Coste, M. Dufau, M. Echaniz, M. Eskenazi, M. Faure, Mme Froger, M. Fégné, M. Garot, Mme Godard, M. Gokel, Mme Got, M. Emmanuel Grégoire, M. Guedj, M. Hablot, Mme Hadizadeh, Mme Herouin-Léautey, Mme Céline Hervieu, M. Hollande, M. Houlié, Mme Jourdan, Mme Karamanli, Mme Keloua Hachi, M. Lhardit, M. Naillet, M. Pena, Mme Pic, M. Potier, M. Pribetich, M. Proença, Mme Rossi, Mme Rouaux, M. Aurélien Rousseau, Mme Runel, Mme Récalde, M. Saint-Pasteur, Mme Santiago, M. Saulignac, M. Simion, M. Sother, Mme Thiébault-Martinez, M. Vicot, M. William et les membres du groupe Socialistes et apparentés","Finances","1ère lecture (1ère assemblée saisie)","https://www.assemblee-nationale.fr/dyn/17/dossiers/PLF_2026","https://www.assemblee-nationale.fr/17/textes/1906A.asp#D_ARTICLE_27","https://www.assemblee-nationale.fr/dyn/17/amendements/1906A/CION_FIN/CF659","https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO59048B1906P1D1N000659.xml"
"PROJET DE LOI DE FINANCES POUR 2026","Amendement n° 416 - PROJET DE LOI DE FINANCES POUR 2026 - 1ère lecture (1ère assemblée saisie) - n° 1906","I-CF416","I","Non renseigné","Après l'article 29","Première délibération","Duby-Muller Virginie","  M. Gouffier Valente, M. Fabrice Brun et Mme Corneloup","Finances","1ère lecture (1ère assemblée saisie)","https://www.assemblee-nationale.fr/dyn/17/dossiers/PLF_2026","https://www.assemblee-nationale.fr/17/textes/1906A.asp#D_ARTICLE_29","https://www.assemblee-nationale.fr/dyn/17/amendements/1906A/CION_FIN/CF416","https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO59048B1906P1D1N000416.xml"
